entry_date,expiry_date,spot_entry,spot_expiry,signal,direction,K1,K2,sigma_used,entry_cost,expiry_value,pnl,pnl_pct,max_profit,max_loss,win,cumulative_pnl,equity
2017-01-18,2017-02-16,1.06968,1.06074,-1.0,bear_put,1.05898,1.06968,0.0915,0.004267,0.008941,0.004674,1.0953,0.00643,0.004267,True,0.2577429999999999,3062.0823441692182
2017-01-23,2017-02-21,1.07138,1.06094,-1.0,bear_put,1.06066,1.07138,0.0958,0.004325,0.010435,0.006109,1.4124,0.006388,0.004325,True,0.26385199999999986,3132.289337338886
2017-01-24,2017-02-22,1.07608,1.05421,-1.0,bear_put,1.06532,1.07608,0.0964,0.004351,0.010761,0.006409,1.4729,0.006409,0.004351,True,0.27026099999999986,3205.944046657007
2017-02-01,2017-03-02,1.08038,1.05359,-1.0,bear_put,1.06958,1.08038,0.0839,0.004206,0.010804,0.006597,1.5685,0.006597,0.004206,True,0.2768579999999999,3281.7593247614927
2017-02-10,2017-03-13,1.06586,1.069,1.0,bull_call,1.0552,1.07652,0.0712,0.011385,0.013803,0.002418,0.2124,0.009932,0.011385,True,0.27927599999999986,3309.5479169180253
2017-02-13,2017-03-14,1.06195,1.06514,1.0,bull_call,1.05133,1.07257,0.0723,0.011331,0.013809,0.002478,0.2187,0.009908,0.011331,True,0.28175399999999984,3338.026052304248
2017-02-14,2017-03-15,1.05985,1.06124,1.0,bull_call,1.04925,1.07045,0.0725,0.011306,0.011993,0.000687,0.0608,0.009891,0.011306,True,0.28244099999999983,3345.921322284206
2017-02-22,2017-03-23,1.05421,1.07902,1.0,bull_call,1.04367,1.06475,0.0642,0.011351,0.021084,0.009733,0.8575,0.009733,0.011351,True,0.2921739999999998,3457.776726527188
2017-03-03,2017-04-03,1.05097,1.06688,1.0,bull_call,1.04046,1.06148,0.0516,0.011524,0.021019,0.009496,0.824,0.009496,0.011524,True,0.3016699999999998,3566.908435012893
2017-03-06,2017-04-04,1.06204,1.06701,-1.0,bear_put,1.05142,1.06204,0.0656,0.003804,0.0,-0.003804,-1.0,0.006816,0.003804,False,0.29786599999999985,3523.1913942505066
2017-03-13,2017-04-11,1.069,1.05976,-1.0,bear_put,1.05831,1.069,0.0731,0.003983,0.009244,0.005262,1.3212,0.006707,0.003983,True,0.30312799999999984,3583.6643354943753
2017-03-16,2017-04-14,1.07379,1.06164,-1.0,bear_put,1.06305,1.07379,0.0839,0.00418,0.010738,0.006558,1.569,0.006558,0.00418,True,0.30968599999999985,3659.0314104995614
2017-03-17,2017-04-17,1.07747,1.06105,-1.0,bear_put,1.0667,1.07747,0.0841,0.004198,0.010775,0.006577,1.5669,0.006577,0.004198,True,0.31626299999999985,3734.6168408608164
2017-03-31,2017-05-01,1.06871,1.09075,1.0,bull_call,1.05802,1.07939,0.0881,0.011244,0.021374,0.01013,0.901,0.01013,0.011244,True,0.3263929999999998,3851.0347228069186
2017-04-03,2017-05-02,1.06688,1.09089,1.0,bull_call,1.05621,1.07755,0.0878,0.011227,0.021338,0.01011,0.9005,0.01011,0.011227,True,0.33650299999999983,3967.2227570097903
2017-04-19,2017-05-18,1.07287,1.11564,-1.0,bear_put,1.06214,1.07287,0.0675,0.003884,0.0,-0.003884,-1.0,0.006844,0.003884,False,0.33261899999999983,3922.586325274483
2017-04-24,2017-05-23,1.08739,1.12389,-1.0,bear_put,1.07652,1.08739,0.0815,0.004196,0.0,-0.004196,-1.0,0.006678,0.004196,False,0.32842299999999985,3874.3642687447855
2017-04-25,2017-05-24,1.08648,1.11793,-1.0,bear_put,1.07562,1.08648,0.0789,0.004151,0.0,-0.004151,-1.0,0.006714,0.004151,False,0.32427199999999984,3826.6593696373548
2017-04-26,2017-05-25,1.09282,1.12309,-1.0,bear_put,1.0819,1.09282,0.0813,0.004215,0.0,-0.004215,-1.0,0.006714,0.004215,False,0.3200569999999998,3778.2189577515874
2017-05-05,2017-06-05,1.09815,1.12808,-1.0,bear_put,1.08717,1.09815,0.0813,0.004235,0.0,-0.004235,-1.0,0.006746,0.004235,False,0.3158219999999998,3729.54869812259
2017-05-17,2017-06-15,1.1094,1.12158,-1.0,bear_put,1.0983,1.1094,0.0841,0.004322,0.0,-0.004322,-1.0,0.006772,0.004322,False,0.31149999999999983,3679.8786008105417
2017-05-18,2017-06-16,1.11564,1.11469,-1.0,bear_put,1.10448,1.11564,0.0824,0.00432,0.000945,-0.003375,-0.7812,0.006836,0.00432,False,0.3081249999999998,3641.0917941404427
2017-05-22,2017-06-20,1.12049,1.11445,-1.0,bear_put,1.10928,1.12049,0.0867,0.004404,0.006031,0.001627,0.3695,0.006801,0.004404,True,0.3097519999999998,3659.78990805222
2017-06-05,2017-07-04,1.12808,1.13714,-1.0,bear_put,1.1168,1.12808,0.0758,0.004255,0.0,-0.004255,-1.0,0.007026,0.004255,False,0.3054969999999998,3610.889800679993
2017-06-16,2017-07-18,1.11469,1.14743,1.0,bull_call,1.10354,1.12584,0.067,0.011962,0.022294,0.010331,0.8637,0.010331,0.011962,True,0.3158279999999998,3729.617652445558
2017-06-28,2017-07-28,1.13392,1.16887,-1.0,bear_put,1.12258,1.13392,0.0758,0.004277,0.0,-0.004277,-1.0,0.007062,0.004277,False,0.3115509999999998,3680.4647125557776
2017-06-29,2017-07-31,1.13827,1.17473,-1.0,bear_put,1.12688,1.13827,0.0758,0.004293,0.0,-0.004293,-1.0,0.007089,0.004293,False,0.3072579999999998,3631.127894471413
2017-06-30,2017-08-01,1.14416,1.18241,-1.0,bear_put,1.13272,1.14416,0.0748,0.004296,0.0,-0.004296,-1.0,0.007146,0.004296,False,0.3029619999999998,3581.7565992255636
2017-07-12,2017-08-10,1.14739,1.17615,-1.0,bear_put,1.13592,1.14739,0.0757,0.004326,0.0,-0.004326,-1.0,0.007148,0.004326,False,0.2986359999999998,3532.0405323648693
2017-07-17,2017-08-15,1.14754,1.17758,-1.0,bear_put,1.13606,1.14754,0.0809,0.004419,0.0,-0.004419,-1.0,0.007057,0.004419,False,0.2942169999999998,3481.2556734981536
2017-07-19,2017-08-17,1.15497,1.17743,-1.0,bear_put,1.14342,1.15497,0.0775,0.004388,0.0,-0.004388,-1.0,0.007162,0.004388,False,0.2898289999999998,3430.8270786334456
2017-07-21,2017-08-21,1.16287,1.17563,-1.0,bear_put,1.15124,1.16287,0.0775,0.004417,0.0,-0.004417,-1.0,0.007211,0.004417,False,0.2854119999999998,3380.065204541053
2017-07-24,2017-08-22,1.16817,1.1812,-1.0,bear_put,1.15649,1.16817,0.0779,0.004446,0.0,-0.004446,-1.0,0.007236,0.004446,False,0.28096599999999977,3328.970051220977
2017-08-01,2017-08-30,1.18241,1.19705,-1.0,bear_put,1.17059,1.18241,0.0721,0.004385,0.0,-0.004385,-1.0,0.007439,0.004385,False,0.27658099999999974,3278.5759335177527
2017-08-03,2017-09-01,1.18511,1.19104,-1.0,bear_put,1.17326,1.18511,0.0685,0.004315,0.0,-0.004315,-1.0,0.007536,0.004315,False,0.27226599999999973,3228.9862829158346
2017-08-04,2017-09-04,1.1885,1.18828,-1.0,bear_put,1.17661,1.1885,0.0677,0.004308,0.000212,-0.004096,-0.9509,0.007577,0.004308,False,0.26816999999999974,3181.9134651022873
2017-08-18,2017-09-18,1.17155,1.19372,1.0,bull_call,1.15983,1.18327,0.0736,0.012483,0.023431,0.010948,0.877,0.010948,0.012483,True,0.27911799999999976,3307.7321197465053
2017-08-28,2017-09-26,1.19519,1.18556,-1.0,bear_put,1.18323,1.19519,0.0779,0.004549,0.009621,0.005073,1.1152,0.007403,0.004549,True,0.28419099999999975,3366.0329998168486
2017-08-29,2017-09-27,1.19639,1.17861,-1.0,bear_put,1.18442,1.19639,0.0766,0.004528,0.011964,0.007436,1.6422,0.007436,0.004528,True,0.29162699999999975,3451.4903907498406
2017-09-08,2017-10-09,1.20291,1.17425,-1.0,bear_put,1.19088,1.20291,0.073,0.00448,0.012029,0.007549,1.6851,0.007549,0.00448,True,0.2991759999999998,3538.246421432085
2017-09-21,2017-10-20,1.18721,1.18481,1.0,bull_call,1.17534,1.19908,0.0798,0.012577,0.009467,-0.00311,-0.2473,0.011167,0.012577,False,0.2960659999999998,3502.5050973597863
2017-09-26,2017-10-25,1.18556,1.1759,1.0,bull_call,1.17371,1.19742,0.0709,0.012668,0.002194,-0.010473,-0.8268,0.011043,0.012668,False,0.28559299999999976,3382.145326617286
2017-09-27,2017-10-26,1.17861,1.18208,1.0,bull_call,1.16682,1.19039,0.0732,0.012564,0.015255,0.002691,0.2142,0.011008,0.012564,True,0.28828399999999976,3413.071340468911
2017-09-28,2017-10-27,1.17496,1.16372,1.0,bull_call,1.16321,1.18671,0.0735,0.012521,0.00051,-0.012011,-0.9593,0.010978,0.012521,False,0.27627299999999977,3275.0362782720076
2017-10-11,2017-11-09,1.18149,1.15969,-1.0,bear_put,1.16967,1.18149,0.0709,0.004355,0.011815,0.00746,1.713,0.00746,0.004355,True,0.2837329999999998,3360.769486496877
2017-10-12,2017-11-10,1.18655,1.16469,-1.0,bear_put,1.17468,1.18655,0.0726,0.004411,0.011865,0.007455,1.6902,0.007455,0.004411,True,0.2911879999999998,3446.4452327859385
2017-10-27,2017-11-28,1.16372,1.19049,1.0,bull_call,1.15209,1.17536,0.0794,0.012332,0.023274,0.010942,0.8873,0.010942,0.012332,True,0.3021299999999998,3572.194933107187
2017-10-30,2017-11-29,1.16046,1.18481,1.0,bull_call,1.14885,1.17206,0.0789,0.012303,0.023209,0.010906,0.8865,0.010906,0.012303,True,0.3130359999999998,3697.5309074906213
2017-11-15,2017-12-15,1.17929,1.1775,-1.0,bear_put,1.16749,1.17929,0.0836,0.004586,0.001791,-0.002795,-0.6094,0.007207,0.004586,False,0.3102409999999998,3665.4096853742
2017-11-17,2017-12-18,1.17775,1.17436,-1.0,bear_put,1.16597,1.17775,0.0835,0.004578,0.003389,-0.001189,-0.2598,0.0072,0.004578,False,0.3090519999999998,3651.745237039164
2017-11-24,2017-12-25,1.1854,1.18561,-1.0,bear_put,1.17354,1.1854,0.0819,0.004581,0.0,-0.004581,-1.0,0.007272,0.004581,False,0.3044709999999998,3599.0986114522834
2017-11-27,2017-12-26,1.19265,1.18725,-1.0,bear_put,1.18072,1.19265,0.0826,0.004621,0.005395,0.000773,0.1674,0.007305,0.004621,True,0.30524399999999985,3607.9822267281315
2017-12-07,2018-01-05,1.18043,1.20688,1.0,bull_call,1.16862,1.19223,0.062,0.012746,0.023609,0.010862,0.8522,0.010862,0.012746,True,0.31610599999999983,3732.812536076459
2017-12-08,2018-01-08,1.17722,1.20375,1.0,bull_call,1.16545,1.18899,0.0629,0.012697,0.023544,0.010848,0.8544,0.010848,0.012697,True,0.32695399999999986,3857.481952004526
2017-12-11,2018-01-09,1.177,1.19705,1.0,bull_call,1.16523,1.18877,0.0628,0.012695,0.02354,0.010845,0.8543,0.010845,0.012695,True,0.33779899999999985,3982.1168907711085
2017-12-20,2018-01-18,1.18413,1.2184,-1.0,bear_put,1.17229,1.18413,0.0619,0.004145,0.0,-0.004145,-1.0,0.007697,0.004145,False,0.33365399999999984,3934.480945986647
