date,portfolio_returns,portfolio_costs,portfolio_net,equity,ret_EURUSD,ret_USDJPY,ret_GBPUSD,ret_AUDUSD
2020-09-17,0.0,5.764291293014312e-07,-5.764291293014312e-07,116.03802846987159,-0.0,-0.0,0.0,-0.0
2020-09-18,0.0,6.252902787734771e-07,-6.252902787734771e-07,116.03795591242041,0.0,-0.0,0.0,0.0
2020-09-21,0.0,5.31267088788257e-06,-5.31267088788257e-06,116.03733944095013,-0.0,-0.0,-0.0,-0.0
2020-09-22,0.0,3.093888504068776e-09,-3.093888504068776e-09,116.03733908194356,-0.0,0.0,-0.0,-0.0
2020-09-23,-0.0024632810554989547,0.0,-0.0024632810554989547,115.7515065028525,-0.005167306447492315,0.0,-0.0,-0.0
2020-09-24,-0.0068501609677425685,2.0060618699598965e-06,-0.006852167029612529,114.95835784636566,-0.004255377205412136,0.0,-0.0021856868674689054,-0.014794407631069328
2020-09-25,-0.0003086480125564949,5.09901662375162e-05,-0.00035963817879401113,114.91701443191265,0.001260749603063438,0.0,-0.0001,-0.0016747308727218524
2020-09-28,-0.0008481544755800952,1.7383824577070772e-07,-0.0008483283138258659,114.81952707482972,-0.0001,0.0,0.0,-0.0021618327233365875
2020-09-29,0.0028547202105204212,3.718788218207758e-07,0.0028543483316986005,115.14726200038217,0.0,-0.0,0.0,0.007567740879360629
2020-09-30,-3.490957820834739e-05,5.625292753229916e-06,-4.053487096157731e-05,115.1425945209754,0.0,0.0,-0.0,-0.0001
2020-10-01,0.0,2.039415921273324e-09,-2.039415921273324e-09,115.14259428615175,-0.0,-0.0,0.0,0.0
2020-10-02,0.0,0.0,0.0,115.14259428615175,0.0,0.0,-0.0,0.0
2020-10-05,0.0,0.0,0.0,115.14259428615175,-0.0,-0.0,0.0,-0.0
2020-10-06,0.0,5.837683355062685e-07,-5.837683355062685e-07,115.14252706955112,0.0,0.0,0.0,0.0
2020-10-07,0.001352538240460419,2.4898752311056704e-06,0.0013500483652293133,115.29797504998976,0.004548194991886067,-0.0,-0.0,-0.0
2020-10-08,-2.968531883961324e-05,1.1581871032379509e-07,-2.9801137549937035e-05,115.29453903917606,-0.0001,0.0,0.0,0.0
2020-10-09,0.0,5.13824442596178e-09,-5.13824442596178e-09,115.29453844676453,-0.0,0.0,0.0,0.0
